6521|6|2771|11|60|27|0|25.50|0|"LIMPI"
6534|5|2725|37|291|200|1|16.80|0|"CARGA"
6541|5|2681|31|341|254|2|20.00|29|"CARGA"
6542|6|2713|16|71|12|1|46.70|0|"INSEM"
6549|4|2907|24|322|251|3|9.00|36|"CARGA"
6554|4|2667|18|368|25|5|38.20|0|"INSEM"
6561|4|2639|37|318|43|8|19.30|0|"INSEM"
6566|5|2635|15|225|74|4|48.70|0|"VACIA"
6584|5|2636|36|291|229|1|21.80|0|"CARGA"
6593|6|2601|10|38|0|0|28.60|0|"FRESC"
6606|5|2597|16|220|125|1|46.00|0|"CARGA"
6616|5|2577|32|357|266|3|20.70|43|"CARGA"
6618|4|2596|18|213|12|6|38.80|0|"INSEM"
6625|5|2695|18|222|181|1|37.90|0|"CARGA"
6626|5|2579|26|309|234|3|3.20|64|"CARGA"
6628|5|2606|29|328|290|2|18.40|64|"CARGA"
6630|5|2635|15|183|33|3|53.10|0|"INSEM"
6654|6|2571|37|94|10|1|20.00|0|"INSEM"
6657|6|2581|11|61|0|0|50.20|0|"ANEST"
6666|5|2582|19|173|10|5|36.40|0|"INSEM"
6669|4|2627|15|129|55|1|48.80|0|"INSEM"
6672|5|2605|37|346|40|9|18.40|0|"INSEM"
6680|4|2621|38|566|228|9|13.90|0|"CARGA"
6685|5|2567|19|294|194|2|35.20|0|"CARGA"
6686|5|2606|20|280|214|1|31.70|0|"CARGA"
6690|3|2578|39|487|129|8|6.00|0|"CARGA"
6710|5|2553|20|336|24|6|33.50|0|"INSEM"
6714|5|2554|31|279|251|1|23.30|29|"CARGA"
6716|5|2564|37|255|151|3|15.00|0|"CARGA"
6717|6|2543|11|49|0|0|4.20|0|"FRESC"
6729|4|2538|20|531|228|5|30.70|0|"CARGA"
6732|4|2560|20|342|0|0|30.40|0|"ANEST"
6736|5|2555|37|311|234|1|18.00|0|"CARGA"
6743|5|2534|17|316|151|3|42.90|0|"CARGA"
6747|5|2509|35|258|0|0|26.20|0|"ANEST"
6749|5|2527|17|182|113|1|40.60|0|"VACIA"
6756|6|2534|10|33|0|0|28.00|0|"FRESC"
6758|5|2529|9|31|0|0|41.50|0|"FRESC"
6762|4|2537|18|97|0|0|38.80|0|"ANEST"
6764|5|2522|31|349|262|4|13.10|36|"CARGA"
6768|5|2512|15|174|13|2|67.90|0|"INSEM"
6769|5|2522|20|272|122|3|33.10|0|"CARGA"
6773|4|2493|17|273|60|8|41.80|0|"CARGA"
6776|5|2526|32|282|239|1|26.10|15|"CARGA"
6785|5|2512|37|325|16|3|19.20|0|"INSEM"
6790|5|2561|11|57|0|0|25.80|0|"ANEST"
6791|3|2493|26|528|249|8|7.30|64|"CARGA"
6792|5|2535|35|267|211|1|28.90|0|"CARGA"
6797|4|2495|38|505|173|7|7.30|0|"CARGA"
6799|5|2482|37|369|187|5|20.20|0|"CARGA"
6800|5|2515|18|308|169|2|37.80|0|"CARGA"
6808|3|2507|38|518|38|17|12.60|0|"INSEM"
6809|5|2485|35|309|153|4|29.80|0|"CARGA"
6811|4|2516|35|286|159|2|26.70|0|"CARGA"
6813|4|2628|19|340|16|8|37.00|0|"INSEM"
6823|5|2503|35|260|187|1|25.90|0|"CARGA"
6828|4|2514|38|380|230|2|8.40|0|"CARGA"
6832|4|2559|39|426|39|10|4.90|0|"INSEM"
6835|3|2490|37|572|21|18|17.00|0|"SUCIA"
6847|4|2549|38|369|122|6|10.00|0|"CARGA"
6850|5|2580|19|267|22|6|35.70|0|"INSEM"
6854|5|2536|37|307|18|2|17.30|0|"INSEM"
6858|5|2521|18|327|222|2|38.00|0|"CARGA"
6860|5|2518|9|32|0|0|27.30|0|"FRESC"
6861|4|2481|9|13|0|0|1.20|0|"FRESC"
6871|5|2474|37|279|23|4|17.60|0|"INSEM"
6874|5|2517|20|334|162|4|33.90|0|"CARGA"
6877|4|2509|35|450|206|5|27.60|0|"CARGA"
6880|5|2455|9|21|0|0|31.60|0|"FRESC"
6882|4|2503|20|280|216|1|33.40|0|"CARGA"
6883|3|2590|38|624|146|19|10.80|0|"CARGA"
6884|4|2554|35|317|107|8|27.00|0|"CARGA"
6891|4|2500|38|429|110|12|6.50|0|"CARGA"
6893|5|2338|19|292|169|4|35.60|0|"CARGA"
6904|5|2494|17|228|73|3|41.20|0|"CARGA"
6906|5|2461|36|178|26|4|23.90|0|"INSEM"
6908|3|2458|19|539|17|14|34.80|0|"INSEM"
6909|4|2461|19|319|161|3|35.70|0|"CARGA"
6913|4|2473|29|573|283|9|6.60|148|"CARGA"
6915|3|2466|37|595|190|12|18.70|0|"CARGA"
6917|5|2489|15|197|46|3|49.40|0|"INSEM"
6920|5|2472|16|212|152|1|43.80|0|"CARGA"
6927|5|2443|16|232|35|6|43.30|0|"INSEM"
6928|4|2494|31|367|258|3|34.00|36|"CARGA"
6929|4|2488|31|487|263|10|6.80|36|"CARGA"
6936|5|2480|19|184|127|1|35.40|0|"CARGA"
6938|4|2575|29|292|378|4|3.60|285|"CARGA"
6939|5|2473|10|34|0|0|21.60|0|"FRESC"
6950|5|2438|40|11|0|0|0.00|0|"FRESC"
6951|5|2461|20|305|229|1|32.20|0|"CARGA"
6952|4|2487|11|51|0|0|45.20|0|"FRESC"
6954|5|2420|9|20|0|0|24.10|0|"FRESC"
6958|4|2432|26|235|252|2|2.30|148|"CARGA"
6964|5|2432|37|315|225|2|20.00|0|"CARGA"
6976|4|2506|9|31|0|0|38.20|0|"FRESC"
6980|5|2621|15|147|33|2|50.80|0|"INSEM"
6985|5|2490|32|279|240|1|9.30|15|"CARGA"
6987|5|2403|35|120|11|2|26.20|0|"INSEM"
6988|5|2391|15|94|10|2|50.10|0|"INSEM"
6992|3|2425|20|191|22|6|32.90|0|"INSEM"
6995|5|2378|9|22|0|0|32.10|0|"FRESC"
6996|4|2488|18|291|12|9|39.30|0|"INSEM"
7007|3|2321|26|426|256|8|6.80|148|"CARGA"
7017|4|2442|38|404|131|6|7.10|0|"CARGA"
7018|4|2369|38|250|12|7|11.80|0|"INSEM"
7019|4|2383|24|411|250|7|8.60|121|"CARGA"
7029|5|2268|36|236|16|4|25.30|0|"INSEM"
7030|4|2387|39|610|186|11|3.80|0|"CARGA"
7036|5|2590|15|108|27|0|50.60|0|"SUCIA"
7039|4|2361|36|315|127|5|20.70|0|"CARGA"
7040|4|2391|32|295|237|1|20.50|15|"CARGA"
7043|3|2414|35|377|21|7|27.20|0|"INSEM"
7044|5|2343|16|114|54|1|44.10|0|"CARGA"
7045|4|2352|36|372|34|7|20.30|0|"INSEM"
7046|4|2493|24|388|194|5|7.10|92|"CARGA"
7055|4|2361|29|326|284|2|11.60|57|"CARGA"
7056|4|2204|16|381|15|6|44.60|0|"SUCIA"
7059|4|2448|36|330|215|5|21.40|0|"CARGA"
7061|3|2330|35|311|15|8|29.90|0|"INSEM"
7066|5|2330|10|42|0|0|24.30|0|"FRESC"
7067|3|2366|24|174|179|3|4.90|121|"CARGA"
7070|4|2353|17|335|13|10|42.00|0|"INSEM"
7079|3|2291|37|683|49|18|14.20|0|"SUCIA"
7081|4|2318|16|95|16|1|43.80|0|"SUCIA"
7087|4|2375|16|183|36|4|44.50|0|"INSEM"
7095|5|2293|16|147|17|4|44.80|0|"INSEM"
7099|4|2311|39|398|150|6|5.10|0|"CARGA"
7108|4|2182|31|329|248|3|13.30|22|"CARGA"
7112|4|2221|17|235|31|5|41.50|0|"INSEM"
7116|4|2262|35|216|155|1|27.10|0|"CARGA"
7124|2|2291|20|486|235|8|34.00|0|"CARGA"
7125|4|2231|37|324|99|3|16.70|0|"CARGA"
7126|4|2245|38|403|14|13|10.50|0|"INSEM"
7128|4|2434|19|273|190|2|34.30|0|"CARGA"
7129|3|2306|37|722|16|11|18.80|0|"INSEM"
7130|3|2313|36|514|52|9|21.80|0|"INSEM"
7132|5|2247|10|43|0|0|55.40|0|"FRESC"
7137|5|2270|9|15|0|0|37.90|0|"FRESC"
7138|4|2287|9|29|0|0|45.00|0|"FRESC"
7140|4|2244|29|317|296|2|20.20|71|"CARGA"
7144|4|2250|24|368|190|6|8.90|36|"CARGA"
7145|3|2242|20|386|124|6|31.40|0|"CARGA"
7149|4|2285|3|2|0|0|0.00|0|"FRESC"
7151|4|2115|31|315|249|2|19.40|22|"CARGA"
7154|4|2222|19|213|20|5|35.70|0|"INSEM"
7155|3|2261|26|354|255|3|5.60|64|"CARGA"
7156|4|2293|38|243|39|4|8.70|0|"INSEM"
7157|4|2251|15|75|14|1|57.30|0|"INSEM"
7159|4|2236|20|302|22|7|30.40|0|"INSEM"
7161|3|2250|19|619|25|6|34.40|0|"INSEM"
7165|3|2247|38|408|27|8|13.00|0|"INSEM"
7169|5|2209|36|110|22|2|20.80|0|"INSEM"
7170|4|2229|16|83|16|1|45.20|0|"INSEM"
7173|4|2233|15|273|158|3|48.50|0|"CARGA"
7174|4|2257|15|231|106|2|58.00|0|"CARGA"
7175|4|2181|11|54|0|0|54.40|0|"FRESC"
7178|3|2201|24|327|244|3|5.00|36|"CARGA"
7179|5|2217|10|33|0|0|43.40|0|"FRESC"
7180|4|2130|18|418|41|3|38.90|0|"INSEM"
7181|5|2198|9|28|0|0|30.80|0|"FRESC"
7190|4|2213|29|323|284|2|20.20|57|"CARGA"
7195|4|2238|18|284|168|2|39.20|0|"CARGA"
7199|4|2257|36|218|14|4|23.90|0|"INSEM"
7200|4|2277|24|431|256|4|1.70|36|"CARGA"
7201|4|2234|37|368|158|4|19.90|0|"CARGA"
7207|3|2201|31|366|250|4|10.80|22|"CARGA"
7208|5|2189|17|72|0|0|40.00|0|"ANEST"
7210|4|2192|38|345|0|0|6.00|0|"ANEST"
7217|4|2185|31|281|264|1|19.10|36|"CARGA"
7220|4|2189|38|302|159|2|8.40|0|"CARGA"
7222|4|2189|9|15|0|0|21.00|0|"FRESC"
7223|4|2217|32|314|272|2|28.00|50|"CARGA"
7226|4|2178|29|312|279|2|20.40|57|"CARGA"
7228|4|2177|20|375|89|5|32.50|0|"CARGA"
7231|4|2206|35|276|198|2|27.90|0|"CARGA"
7232|4|2234|19|261|194|1|34.50|0|"CARGA"
7237|4|2174|24|293|169|6|8.00|92|"CARGA"
7238|4|2224|35|239|28|6|29.00|0|"INSEM"
7242|4|2231|24|351|226|3|7.20|36|"CARGA"
7244|4|2208|36|273|19|6|22.50|0|"INSEM"
7245|4|2222|19|306|208|2|34.90|0|"CARGA"
7247|4|2173|36|398|27|11|20.50|0|"INSEM"
7249|4|2104|10|38|0|0|50.80|0|"FRESC"
7257|4|2172|38|380|192|3|11.20|0|"CARGA"
7259|3|2179|29|229|566|2|1.70|482|"CARGA"
7261|4|2192|17|238|33|3|41.90|0|"INSEM"
7264|3|2202|19|372|20|15|35.20|0|"INSEM"
7265|4|2219|31|289|263|1|15.50|36|"CARGA"
7267|4|2237|39|422|234|5|3.80|0|"CARGA"
7268|4|2102|18|217|40|5|39.60|0|"INSEM"
7272|4|2178|37|296|190|2|20.10|0|"CARGA"
7274|2|2203|36|658|34|13|25.50|0|"INSEM"
7277|2|2166|35|615|161|9|29.00|0|"CARGA"
7287|4|2084|18|367|161|6|38.90|0|"CARGA"
7293|4|2168|39|327|198|4|2.10|0|"CARGA"
7297|4|2139|20|280|19|7|30.60|0|"INSEM"
7302|4|2242|36|293|181|2|20.80|0|"CARGA"
7305|3|2163|19|530|85|9|35.40|0|"CARGA"
7307|4|2143|16|132|10|2|43.80|0|"INSEM"
7308|4|2128|32|292|266|2|33.20|43|"CARGA"
7310|4|2220|19|303|13|0|35.50|0|"SUCIA"
7311|2|2199|29|564|300|8|8.80|183|"CARGA"
7313|3|2172|39|594|228|12|2.00|0|"CARGA"
7314|4|2165|10|33|0|0|23.40|0|"FRESC"
7315|4|2137|11|59|0|0|36.30|0|"ANEST"
7317|4|2112|9|29|0|0|24.00|0|"FRESC"
7318|4|2197|18|100|36|1|38.20|0|"INSEM"
7324|3|2141|16|82|19|1|46.70|0|"INSEM"
7325|4|2131|32|308|241|2|37.80|15|"CARGA"
7328|3|2130|15|84|0|0|50.20|0|"ANEST"
7329|4|2118|29|270|288|1|29.80|64|"CARGA"
7331|3|2137|38|432|184|2|13.70|0|"CARGA"
7334|4|2152|9|23|0|0|25.40|0|"FRESC"
7335|4|2125|16|189|33|3|43.40|0|"INSEM"
7336|5|2137|9|17|0|0|36.90|0|"FRESC"
7341|4|2159|20|261|203|1|31.50|0|"CARGA"
7344|3|2155|32|468|266|6|33.20|43|"CARGA"
7345|4|2113|11|49|0|0|41.70|0|"FRESC"
7347|4|2112|32|361|237|3|26.00|15|"CARGA"
7349|3|2121|31|382|248|3|33.70|22|"CARGA"
7352|5|2114|10|36|0|0|41.20|0|"FRESC"
7354|4|2091|39|332|181|3|5.60|0|"CARGA"
7356|4|2052|18|125|68|1|38.90|0|"CARGA"
7359|4|2136|9|21|0|0|32.20|0|"FRESC"
7365|4|2100|37|270|160|2|19.30|0|"CARGA"
7366|4|2085|32|285|272|1|19.60|50|"CARGA"
7367|4|2122|15|225|98|2|50.00|0|"CARGA"
7368|3|2096|19|313|19|8|36.00|0|"INSEM"
7371|4|2131|16|262|27|5|44.50|0|"INSEM"
7372|4|2138|20|92|27|1|33.60|0|"INSEM"
7373|4|2109|11|53|24|0|44.00|0|"LIMPI"
7379|3|2086|17|335|27|10|40.50|0|"INSEM"
7386|4|2135|10|36|0|0|28.90|0|"FRESC"
7387|4|2096|36|322|187|2|22.80|0|"CARGA"
7390|3|2099|36|456|168|6|25.60|0|"CARGA"
7392|4|2087|16|288|34|2|45.30|0|"INSEM"
7395|4|2138|17|277|31|5|42.30|0|"INSEM"
7396|2|2085|20|562|69|7|30.70|0|"VACIA"
7400|5|2090|9|22|0|0|36.40|0|"FRESC"
7403|3|2209|35|159|10|2|29.30|0|"INSEM"
7405|3|2220|38|501|65|6|11.10|0|"CARGA"
7409|2|2089|19|387|26|9|34.80|0|"INSEM"
7415|4|2103|9|31|0|0|32.40|0|"FRESC"
