1,"05119",59
5,"03031",60
7,"02796",60
10,"00073",41
12,"06107",60
19,"01420",9
21,"06403",60
22,"04133",60
23,"05027",1
34,"02830",60
37,"01377",41
38,"02460",9
43,"03511",16
44,"06228",16
48,"04025",9
57,"00784",9
59,"03090",60
60,"06214",60
62,"07010",60
64,"07646",60
73,"05627",16
74,"09037",16
77,"09241",41
80,"00064",60
84,"00848",42
92,"03172",16
94,"09179",41
95,"05464",16
98,"03543",1
103,"09785",16
104,"02433",16
105,"00936",16
106,"03365",60
109,"07975",16
111,"06173",60
116,"02231",20
117,"03772",9
118,"05895",7
122,"00030",17
123,"01849",9
128,"03562",17
130,"05461",60
131,"09140",20
133,"02946",60
142,"01431",16
143,"07971",16
144,"06927",4
149,"03390",60
156,"06524",16
157,"08080",17
158,"04099",16
159,"06879",60
163,"01308",16
164,"00612",41
166,"04766",16
168,"07038",16
169,"08190",16
171,"01154",1
174,"09247",20
175,"04964",60
182,"07834",16
183,"02510",60
186,"08399",16
189,"07865",41
191,"00063",60
194,"07942",9
195,"05611",16
196,"01698",41
198,"01221",60
199,"01231",4
200,"07261",9
201,"03361",41
203,"01158",60
204,"04185",20
208,"02301",1
213,"08862",16
214,"06968",7
215,"05233",1
217,"02000",41
220,"07082",9
222,"?????",41
224,"08163",16
225,"00438",16
229,"04386",16
231,"08348",7
233,"03063",16
239,"01010",16
241,"03926",16
244,"01028",16
248,"06635",60
251,"03421",60
254,"03614",4
259,"06800",41
260,"07363",16
261,"07516",16
265,"09944",60
266,"03389",41
270,"02318",60
275,"08522",16
278,"00996",41
283,"04122",7
285,"08305",9
286,"05493",7
290,"09017",16
291,"07455",9
292,"?????",42
294,"02533",60
296,"00275",60
297,"07953",9
300,"08243",41
301,"08145",16
302,"07057",16
303,"?????",14
306,"09823",16
308,"07735",1
309,"02139",9
310,"06315",60
315,"05325",9
319,"06888",7
321,"01240",60
322,"05204",4
323,"06377",41
325,"06669",20
329,"05226",60
331,"02508",60
332,"09210",60
336,"04517",60
337,"?????",14
338,"02539",20
340,"04638",60
344,"08771",41
345,"09557",60
346,"05045",4
348,"08130",41
349,"02920",4
350,"04103",41
351,"07619",41
355,"03454",9
357,"02492",16
358,"05788",4
361,"05865",20
364,"03555",4
366,"?????",42
370,"09684",16
371,"00698",16
372,"03241",9
374,"04695",16
375,"05875",60
376,"09162",41
379,"07182",60
381,"02299",16
382,"05858",4
384,"06936",16
385,"00552",4
387,"?????",41
389,"01795",4
390,"08717",41
392,"02214",9
393,"05214",60
394,"06648",41
397,"03527",41
399,"04232",60
400,"03730",4
401,"05546",1
402,"04132",14
404,"04019",60
405,"05900",60
406,"08424",16
407,"05938",60
408,"04522",60
410,"08051",60
411,"05923",16
415,"06494",60
417,"03194",60
418,"06681",41
422,"01365",4
425,"09806",16
428,"09068",41
429,"08175",17
430,"07677",16
431,"09089",9
432,"02040",4
434,"05209",60
435,"09181",16
437,"07998",4
440,"03744",16
441,"08751",16
442,"00518",16
445,"01969",60
446,"03269",16
448,"03081",60
449,"03592",16
450,"06987",20
454,"04247",60
457,"02133",16
460,"00926",41
461,"02221",59
462,"06419",16
463,"07659",41
465,"08521",16
466,"04804",16
467,"01692",7
468,"04527",4
469,"01173",4
470,"03174",16
471,"04075",59
472,"00217",16
473,"03073",7
475,"05455",4
476,"05099",41
478,"06012",16
479,"07002",4
480,"00486",16
481,"05224",16
482,"07216",4
484,"06801",8
486,"04134",16
488,"00043",16
489,"06252",41
490,"06203",4
492,"07623",16
494,"03242",20
495,"09923",4
496,"04722",1
497,"00785",16
498,"07365",8
499,"08143",60
501,"00687",1
503,"00713",1
504,"08560",16
505,"07989",16
506,"00864",4
508,"08837",4
510,"02180",1
511,"08092",4
512,"07217",16
513,"07237",16
514,"03020",16
522,"02480",60
524,"04558",41
527,"04916",16
531,"04096",1
533,"04885",60
537,"07606",9
538,"03182",41
539,"04663",20
540,"03612",9
541,"07475",41
543,"04079",60
549,"00511",4
550,"09340",15
551,"01076",1
552,"06782",41
554,"00364",20
555,"05385",4
556,"03089",16
559,"04951",8
560,"03622",1
562,"06072",4
565,"03753",41
567,"07341",20
569,"08122",59
570,"05542",4
571,"03979",16
572,"02537",41
573,"08797",41
574,"03298",4
575,"02355",1
576,"02961",41
577,"00783",15
578,"02036",7
579,"06049",4
580,"06090",15
581,"07831",4
582,"01883",4
583,"00915",15
584,"06495",4
586,"04372",1
587,"02822",8
592,"00103",16
593,"06912",4
594,"07697",4
595,"07885",15
596,"06356",15
597,"01009",8
598,"08672",4
599,"06187",4
600,"04654",4
601,"00668",4
602,"05989",4
603,"04341",15
604,"06717",8
605,"03294",4
606,"07640",41
607,"07459",8
608,"01384",1
611,"06472",59
613,"03991",15
614,"03878",15
615,"07911",8
616,"04173",4
617,"07502",4
618,"05920",8
621,"04905",4
622,"03395",8
623,"03268",4
624,"08246",8
625,"06217",59
626,"05260",4
627,"08052",8
629,"01956",4
631,"00109",8
635,"06813",59
637,"02736",4
638,"09808",4
639,"04484",8
643,"01133",8
649,"08678",59
650,"01065",15
651,"08442",59
653,"00581",4
654,"01166",4
656,"06089",15
657,"07199",4
661,"07962",15
662,"07170",8
665,"03235",8
666,"01674",15
667,"08653",8
668,"05762",4
669,"09679",59
671,"03305",8
672,"06135",15
673,"05953",59
678,"07702",4
679,"00075",15
680,"09188",8
682,"02327",59
683,"04477",59
684,"05742",59
686,"?????",14
687,"09265",59
688,"02579",59
689,"02549",15
690,"04946",8
692,"04358",8
693,"08059",59
695,"09407",8
696,"04897",15
697,"07758",4
699,"05098",15
706,"03990",9
709,"00587",41
713,"03248",16
714,"01030",16
718,"03648",60
720,"03971",16
722,"05480",16
726,"05593",41
727,"01474",60
731,"?????",14
739,"05924",9
740,"02046",9
743,"00188",1
745,"02859",16
747,"07281",1
753,"09313",60
754,"09794",16
756,"03120",60
763,"06692",4
766,"04890",16
767,"02849",60
771,"03030",60
774,"03414",60
777,"02330",4
778,"01687",16
779,"01752",1
782,"09023",41
787,"07429",16
790,"01738",60
795,"09894",9
796,"01084",41
799,"03358",16
800,"08852",16
804,"06261",60
805,"00401",16
809,"?????",9
811,"00819",9
812,"01819",9
813,"04807",60
814,"07450",4
816,"00407",60
817,"01527",60
820,"01277",20
824,"07493",9
826,"00061",9
827,"00533",16
828,"04279",60
831,"01653",8
832,"07252",60
833,"06234",60
835,"03743",41
836,"04719",9
837,"04652",16
838,"01820",15
840,"05968",59
841,"08267",8
842,"01402",8
845,"03978",60
846,"07222",16
847,"09000",2
849,"07471",14
850,"06050",59
852,"08334",15
854,"07384",8
855,"08753",15
858,"04773",9
859,"04199",41
860,"06432",15
862,"01818",59
865,"09049",4
869,"09687",15
870,"06658",14
871,"07388",59
874,"04996",59
878,"04142",2
881,"06057",2
885,"09805",59
888,"05120",59
889,"04717",59
891,"09625",8
892,"07416",59
893,"07202",2
895,"00594",59
897,"01595",2
898,"01994",2
900,"03366",8
902,"06256",15
903,"09520",4
906,"03017",15
907,"01275",59
908,"06413",59
909,"06522",15
911,"00042",8
915,"09820",59
917,"08044",15
918,"03727",15
920,"05837",8
921,"00684",59
924,"06399",15
926,"04632",8
927,"04174",4
928,"04305",15
929,"05431",59
930,"06592",59
931,"09463",59
932,"00546",59
933,"01354",15
934,"02671",59
937,"02665",59
941,"02857",15
942,"05704",14
944,"02879",15
946,"06483",15
947,"00028",59
949,"03607",15
950,"04592",17
954,"03832",59
956,"07152",15
958,"04567",59
959,"06691",59
960,"08198",59
962,"02086",15
964,"03156",59
966,"05155",4
967,"00172",59
968,"",2
969,"02638",15
970,"00651",59
971,"07586",4
972,"09980",17
974,"06815",59
979,"06456",15
980,"09238",59
982,"09877",15
983,"01930",59
984,"02964",59
985,"",2
987,"02197",59
989,"04210",8
990,"01506",15
991,"06123",59
992,"09601",15
993,"04100",59
996,"03091",14
998,"07596",59
1000,"01779",59
1001,"01342",41
1002,"02445",4
1004,"08291",16
1005,"08489",41
1006,"09155",16
1007,"01774",4
1008,"01484",41
1009,"03056",60
1010,"06477",4
1011,"00344",20
1012,"05964",60
1013,"05740",41
1014,"06359",60
1015,"02245",9
1017,"00348",9
1018,"06229",4
1019,"05343",8
1020,"01043",16
1021,"05718",15
1023,"00358",4
1024,"05801",4
1026,"04867",41
1027,"01059",16
1029,"04637",41
1030,"02178",15
1031,"06990",16
1032,"02249",15
1033,"09550",4
1034,"04771",20
1035,"02557",8
1036,"00968",4
1037,"02190",16
1038,"05291",8
1039,"04496",1
1040,"02209",59
1041,"03973",20
1043,"03243",8
1044,"02211",60
1045,"03054",20
1046,"06561",4
1047,"05907",41
1048,"01343",4
1049,"04349",8
1051,"07132",1
1052,"03630",4
1053,"02387",4
1054,"00238",4
1055,"07600",8
1056,"08110",4
1057,"04486",8
1059,"06100",41
1060,"04815",15
1061,"03468",8
1062,"04130",4
1063,"04212",60
1064,"03187",59
1065,"07009",8
1066,"01876",4
1067,"07632",20
1068,"03239",4
1069,"05066",4
1070,"00461",4
1071,"07837",16
1072,"01470",15
1073,"01989",15
1075,"00273",4
1076,"06951",15
1077,"07098",4
1078,"05351",59
1079,"03417",41
1080,"02912",4
1082,"00328",8
1083,"04536",16
1084,"06645",9
1086,"01078",60
1088,"04388",8
1089,"07248",8
1090,"01943",4
1092,"06923",60
1093,"00938",4
1094,"06915",1
1096,"00616",8
1097,"08634",9
1099,"02361",8
1102,"09512",15
1105,"03439",59
1112,"02965",15
1121,"09314",59
1124,"02902",15
1133,"08712",15
1135,"07470",59
1157,"01756",9
1225,"00642",16
1254,"03783",8
1323,"05482",59
1324,"07104",15
1327,"04666",4
1328,"02839",59
1329,"00983",59
1330,"08572",15
1333,"03293",59
1335,"07798",15
1336,"05726",15
1338,"05824",59
1340,"08141",15
1341,"06737",15
1342,"06324",4
1343,"03839",15
1344,"04898",59
1345,"08317",9
1346,"05835",4
1348,"04798",60
1349,"01002",15
1350,"?????",14
1353,"?????",41
1354,"01844",15
1355,"04354",59
1356,"02753",8
1357,"02242",1
1358,"?????",14
1359,"05519",59
1360,"00270",15
1362,"03815",15
1363,"08699",60
1364,"07396",8
1365,"02823",15
1366,"06300",59
1368,"02234",59
1369,"06677",8
1370,"05690",59
1371,"03400",59
1372,"05146",59
1373,"06637",1
1374,"02171",59
1382,"03558",2
1387,"03647",59
1388,"07367",15
1389,"01591",59
1392,"",2
1397,"",2
1399,"03925",8
1414,"01211",7
1464,"03992",60
1466,"07276",1
1521,"",2
1523,"06282",16
1560,"08980",59
1574,"00685",15
1575,"05859",8
1576,"?????",14
1577,"?????",14
1578,"07179",41
1579,"00365",41
1582,"06781",15
1632,"06223",41
1704,"04163",60
1764,"00076",60
1816,"04066",15
1817,"03801",15
1855,"03886",9
1876,"00207",41
1904,"02969",60
1910,"02385",16
1913,"03952",60
1916,"06780",7
1953,"05721",16
1955,"00792",60
1987,"00101",7
1989,"00409",60
2000,"01590",4
2001,"00354",41
2002,"06221",20
2004,"03326",7
2005,"00740",15
2007,"?????",41
2008,"04464",4
2010,"01663",41
2014,"08311",8
2015,"06412",59
2016,"07021",4
2017,"05855",14
2019,"01946",8
2022,"01144",41
2023,"04002",8
2024,"02456",4
2025,"02945",41
2027,"?????",14
2029,"06445",59
2030,"09915",15
2033,"01865",4
2035,"00175",15
2036,"07003",4
2038,"03639",4
2040,"09649",60
2041,"08928",8
2044,"03566",4
2045,"08082",9
2046,"04751",59
2049,"02055",8
2050,"03373",4
2051,"04216",4
2052,"04877",8
2054,"03045",4
2055,"01414",8
2056,"07122",41
2057,"09452",41
2058,"01929",8
2059,"03665",4
2067,"04685",4
2069,"05526",9
2070,"04128",15
2071,"?????",14
2072,"03600",59
2073,"00600",60
2074,"01406",8
2076,"09733",8
2078,"04262",59
2079,"05019",15
2080,"06357",8
2081,"02888",8
2083,"01790",60
2085,"02402",8
2086,"04171",8
2087,"05525",8
2091,"07362",4
2092,"04046",4
2099,"?????",41
2103,"01620",7
2114,"07788",4
2135,"?????",14
2138,"04223",7
2149,"08294",60
2151,"08828",16
2153,"03715",16
2154,"08739",60
2166,"03906",16
2172,"02025",9
2180,"02970",60
2184,"08596",20
2193,"08112",16
2195,"02953",9
2197,"06897",9
2200,"06525",16
2206,"02150",20
2208,"07895",60
2213,"01239",7
2217,"04053",16
2218,"04491",60
2225,"02600",60
2228,"07748",60
2239,"06318",9
2242,"02478",60
2246,"05903",16
2250,"00252",7
2252,"04881",41
2258,"03016",60
2262,"00397",60
2264,"05178",16
2267,"03332",17
2270,"03646",16
2274,"03523",16
2290,"06816",60
2292,"05000",60
2293,"02515",16
2297,"06117",20
2299,"05993",60
2301,"02219",1
2304,"06841",9
2305,"04876",41
2309,"00970",20
2314,"04634",9
2322,"03304",16
2329,"04175",41
2331,"07696",9
2332,"07025",60
2339,"09956",16
2346,"01429",9
2351,"01477",20
2352,"01092",41
2355,"08297",4
2356,"05827",9
2357,"?????",14
2359,"03411",60
2369,"05371",41
2377,"05272",60
2379,"02829",1
2383,"07637",9
2387,"00257",9
2403,"02236",41
2416,"08090",16
2419,"03492",16
2425,"00477",1
2426,"04988",60
2430,"01513",60
2432,"05773",60
2436,"?????",41
2437,"08435",9
2445,"01586",60
2457,"01466",60
2458,"06003",60
2459,"05253",41
2462,"08097",16
2464,"05514",60
2468,"00455",4
2471,"00628",9
2473,"08783",9
2474,"06511",16
2475,"02182",16
2476,"08226",1
2482,"01467",9
2483,"06427",20
2489,"04873",60
2491,"03768",7
2492,"03542",60
2495,"07373",16
2499,"?????",14
2501,"00586",15
2503,"08507",60
2504,"04503",60
2505,"07355",20
2506,"01071",41
2511,"02436",7
2512,"01755",4
2514,"04764",4
2515,"07172",9
2516,"01425",15
2517,"00482",9
2520,"03217",60
2522,"07650",15
2523,"04161",59
2524,"00566",15
2525,"05688",59
2526,"05409",15
2527,"09870",15
2528,"02735",59
2529,"07802",59
2530,"07854",14
2532,"05367",4
2533,"08575",15
2534,"05840",59
2535,"06047",59
2536,"04394",59
2537,"01547",59
2538,"03019",59
2539,"09427",59
2540,"03688",15
2541,"05890",8
2542,"08825",15
2543,"00349",59
2544,"08868",14
2545,"01394",59
2546,"02877",59
2547,"01954",15
2548,"04013",59
2549,"03686",59
2550,"02815",59
2553,"06207",2
2554,"03900",15
2555,"03567",15
2556,"04765",15
2558,"06942",59
2559,"05411",59
2560,"01658",15
2563,"06906",8
2565,"05590",59
2583,"05183",15
2584,"08031",15
2585,"09031",15
2586,"07187",59
2587,"00084",59
2588,"00145",59
2589,"06284",8
2624,"03540",59
2626,"04958",15
2628,"01349",8
2631,"07434",15
2633,"04377",15
2635,"04181",59
3021,"04794",7
3026,"07556",9
3035,"07580",60
3068,"03074",16
3078,"00732",60
3085,"04646",9
4000,"07081",4
4001,"02490",15
4002,"00804",4
4003,"04862",8
4004,"07553",59
4005,"07839",9
4007,"01281",15
4008,"03057",15
4009,"09419",59
4010,"08158",4
4011,"01184",4
4012,"03865",15
4013,"04518",59
4014,"01396",8
4015,"04403",15
4016,"01565",15
4018,"00540",4
4019,"05691",15
4022,"05919",14
4024,"04802",59
4025,"00457",15
4026,"08937",15
4027,"02113",59
4028,"00929",59
4029,"04662",8
4030,"04623",15
4031,"08390",8
4032,"00151",8
4033,"01205",2
4035,"07879",8
4036,"03244",15
4037,"08788",59
4038,"02976",4
4039,"00921",15
4040,"07005",59
4041,"07306",15
4044,"06995",15
4045,"03034",59
4046,"02281",15
4047,"07379",59
4048,"05285",15
4049,"06018",2
4051,"01433",8
4052,"07090",15
4053,"02353",15
4054,"00026",59
4055,"08140",59
4056,"04406",59
4057,"06075",59
4059,"07795",59
4060,"05203",4
4062,"08091",59
4063,"03721",15
4064,"01709",15
4065,"03859",59
4066,"",2
4069,"",2
4073,"",2
4077,"00789",14
4078,"03158",59
4079,"06776",15
4080,"00032",15
4081,"04688",4
4082,"08786",15
4084,"02705",15
4089,"09598",15
10000,"",0
