id,rfid,corr
1442,"12292634",13
1443,"12292632",11
1444,"12292628",9
1445,"12292633",10
1449,"12292617",20
1454,"12292622",3
1455,"12292623",1
1456,"12292624",19
1461,"12292484",16
1463,"12292488",15
1464,"12292496",17
1468,"12292483",15
1470,"12292480",2
1473,"12292479",15
1474,"12292491",19
1478,"12292485",18
1480,"12292493",2
1481,"12292478",14
1483,"12292497",18
1484,"12292498",9
1485,"12292499",1
1486,"12292500",13
1487,"12292501",16
1490,"12292504",2
1491,"12292505",3
1492,"12292506",11
1496,"12292510",4
1497,"12292511",2
1498,"12292512",3
1500,"12292514",16
1502,"12292515",17
1503,"12292516",18
1505,"",12
1506,"12292519",9
1507,"12292520",18
1509,"12292522",11
1510,"12292523",18
1514,"12292527",12
1516,"12292529",14
1519,"12292532",14
1522,"12292535",17
1523,"12292536",1
1525,"0812949003",19
1529,"0812949005",13
1532,"0812948937",16
1534,"0812949007",16
1536,"0812949008",16
1540,"0812949010",1
1542,"0812949011",19
1543,"0812948942",9
1546,"0812948943",18
1548,"0812948944",40
1552,"0812948945",18
1554,"0812948946",15
1555,"0812949016",13
1560,"0812949018",18
1562,"0812949019",1
1563,"0812948950",2
1570,"",11
1572,"0812948954",9
1575,"0812948955",20
1576,"0812949025",4
1577,"0812948957",20
1578,"0812949026",14
1579,"0812948956",19
1581,"0812949027",16
1584,"0812948959",17
1585,"0812949029",19
1587,"0812949030",18
1589,"0812949031",20
1592,"0812948963",19
1593,"0812949033",18
1596,"0812948965",16
1598,"0812948966",14
1600,"0812948967",18
1601,"0812949037",17
1605,"0812948969",18
1606,"0812949039",15
1608,"0812949040",11
1609,"0812948971",3
1610,"0812949041",18
1615,"0812948974",9
1625,"0812949048",19
1626,"0812948979",19
1627,"0812949049",19
1628,"0812948980",11
1629,"0812949050",14
1630,"0812948981",3
1633,"0812948982",19
1634,"0812949052",17
1637,"0812948984",9
1638,"0812949054",19
1640,"0812949055",11
1642,"0812949056",19
1643,"0812948987",10
1644,"0812949057",4
1645,"0812948988",12
1646,"0812949058",1
1647,"0812948989",3
1651,"0812949060",12
1652,"0812948991",2
1656,"0812948993",14
1657,"0812949063",20
1659,"0812949064",40
1661,"0812949065",19
1662,"0812948996",19
1664,"0812948997",10
1666,"0812948998",3
1668,"0812948999",4
1670,"0812949000",18
1671,"0812949070",18
1673,"0812949071",10
1676,"0813289186",3
1677,"0812949004",2
1679,"0812949009",50
1680,"0812948940",9
1681,"0812949014",15
1682,"0812948962",17
1683,"0812949034",19
1684,"0813289155",2
1685,"0812949059",15
1687,"0813289210",16
1690,"0813289164",2
1694,"0813289156",11
1696,"13289049",1
1700,"13289052",18
1701,"13289048",1
1702,"13289050",9
1703,"0813289125",3
1704,"13289051",3
1705,"0813289126",19
1707,"13289077",9
1708,"13289055",10
1710,"0813289166",10
1712,"0813289158",3
1714,"0813289209",18
1715,"0813289208",50
1716,"0813289161",19
1717,"0813289157",2
1718,"0813289223",19
1721,"0813289216",9
1722,"0813289169",9
1727,"0813289224",14
1728,"0813289163",13
1729,"0813289238",15
1731,"0813289179",9
1734,"0813289172",19
1735,"0813289233",10
1737,"0813289168",4
1738,"0813289221",9
1739,"0813289160",20
1741,"0813289235",9
1742,"0813289180",18
1744,"0813289174",12
1746,"0813289219",3
1747,"0813289162",18
1748,"0813289214",17
1749,"0813289167",19
1750,"0813289220",16
1751,"0813289177",3
1753,"0813289185",11
1755,"0813289237",4
1756,"0813289183",4
1757,"0813289213",9
1759,"0813289178",3
1761,"0813289182",19
1766,"0813289240",3
1769,"0813289234",19
1772,"0813289159",2
1774,"0813289236",3
1775,"0813289128",4
1776,"13289047",17
1777,"13289097",13
1779,"0813289184",19
1780,"0813289228",16
1781,"0813289127",1
1782,"13289056",9
1783,"0813289096",9
1784,"0813289181",19
1786,"0813289130",4
1787,"13289075",10
1788,"13289098",11
1789,"0813289198",11
1790,"0813289229",9
1793,"13289099",1
1794,"0813289176",10
1795,"0813289239",9
1796,"13289095",3
1800,"0813289249",1
1801,"0813289131",4
1802,"13289053",18
1803,"0813708952",17
1806,"0813289243",4
1807,"0813289138",4
1808,"0813289196",11
1810,"0813289191",4
1813,"13289057",10
1814,"13289054",4
1815,"13289102",4
1816,"0813289242",10
1817,"0813289199",50
1818,"0813289105",3
1819,"0813289140",11
1822,"0813289254",12
1824,"13289063",20
1825,"13289121",10
1827,"0813289193",18
1829,"0813289192",11
1832,"13289066",19
1833,"13289100",11
1835,"13289108",16
1838,"13289106",13
1839,"0813289132",11
1841,"0813289251",1
1845,"0813289203",2
1846,"0813289253",16
1847,"0813289135",20
1848,"13289073",50
1850,"0813289195",3
1851,"0813289245",19
1852,"0813289070",11
1853,"0813289142",50
1855,"0813709022",3
1858,"13289061",4
1859,"13289117",14
1860,"0813708954",1
1861,"0813289065",9
1863,"0813289146",9
1864,"0813289107",18
1867,"0813289134",4
1868,"0813289074",9
1869,"0813289113",13
1870,"0813708951",2
1872,"0813289067",12
1875,"0813708953",2
1877,"13289060",9
1879,"0813709028",15
1880,"0813708957",1
1882,"0813289069",3
1883,"0813289120",3
1885,"0813709032",3
1886,"0813289145",16
1889,"0813289202",3
1890,"0813709026",20
1892,"0813289147",20
1893,"0813289116",3
1895,"0813708955",16
1896,"0813289143",15
1899,"0813289114",16
1900,"0813708962",18
1901,"0813289078",3
1903,"0813289109",19
1905,"0813708956",15
1906,"13289090",2
1907,"0813289151",12
1913,"0813289118",16
1914,"13289119",13
1915,"0813709080",9
1916,"0813708963",2
1918,"13289082",20
1919,"0813289112",11
1921,"0813289148",50
1922,"0813708961",19
1923,"0813289087",10
1926,"0813708960",9
1929,"0813709029",10
1930,"0813708968",16
1931,"0813709027",15
1932,"0813289154",14
1933,"0813289088",9
1935,"0813709044",15
1936,"0813708977",9
1937,"0813709045",15
1939,"0813289123",16
1940,"0813708984",19
1941,"0813709046",12
1942,"0813289089",4
1943,"0813289124",20
1945,"0813709035",2
1947,"0813708966",18
1951,"0813708980",20
1953,"0813709039",2
1957,"0813289081",20
1959,"0813289086",1
1962,"0813708964",1
1963,"0813709052",19
1964,"0813708978",2
1966,"0813709049",4
1967,"0813708969",20
1968,"0813709074",19
1969,"0813289094",2
1970,"0813289093",17
1971,"0813708987",12
1972,"0813709066",1
1973,"0813708971",4
1974,"0813709067",12
1976,"0813709038",15
1977,"0813708973",19
1979,"0813708974",18
1980,"0813709036",20
1982,"0813709051",17
1983,"0813708989",16
1985,"0813708981",20
1986,"0813709040",16
1988,"0813709042",19
1989,"0813708967",4
1991,"0813708990",2
1992,"0813709037",2
1994,"0813709048",12
1995,"0813708982",16
1997,"0813708972",15
1998,"0813709084",20
2001,"0813709068",6
2002,"0813708995",16
2003,"0813709059",14
2004,"0813708994",20
2006,"0813709003",1
2008,"0813708993",16
2009,"0813709069",8
2011,"0813708992",2
2012,"0813708991",20
2013,"0813709077",20
2016,"0813709008",20
2018,"0813709062",3
2021,"0813709075",20
2022,"0813709006",10
2023,"0813709055",16
2024,"0813709000",10
2025,"0813709054",19
2027,"0813709064",17
2028,"0813708996",15
2031,"0813709060",20
2032,"0813708999",19
2033,"0813709070",15
2034,"0813708998",15
2036,"0813709005",18
2037,"0813709071",3
2039,"0813709082",15
2040,"0813709016",15
2043,"0813709078",18
2044,"0813709014",40
2046,"0813709012",18
2049,"0813709079",20
2050,"0813709017",17
2051,"0813709056",19
2052,"0813709010",18
2053,"0813709065",18
2054,"0813709007",13
2059,"0813709011",2
2061,"0814179465",18
2062,"0814179467",6
2063,"0814179463",18
2064,"0814179468",19
2066,"0814179462",2
2068,"0814179471",8
2069,"0814179464",12
2070,"0814179502",40
2071,"0814179513",17
2072,"0814179519",11
2074,"0814179549",11
2075,"0814179556",20
2076,"0814179504",19
2077,"0814179503",8
2080,"0814179523",19
2082,"0814179469",19
2083,"0814179495",3
2084,"0814179492",11
2085,"0814179472",11
2086,"0814179534",11
2088,"0814179516",11
2091,"0814179509",12
2092,"0814179497",10
2093,"0814179474",12
2094,"0814179479",19
2095,"0814179550",10
2096,"0814179554",9
2097,"0814179564",20
2101,"0814179571",10
2104,"0814179494",19
2105,"0814179514",12
2107,"0814179500",20
2108,"0814179551",17
2109,"0814179557",9
2111,"0814179487",9
2112,"0814179528",11
2115,"0814179531",9
2116,"0814179569",11
2117,"0814179532",11
2124,"0814179506",4
2125,"0814179488",10
2127,"0814179480",40
2129,"0814179540",19
2131,"0814179562",13
2132,"0814179560",9
2134,"0814179512",19
2135,"0814179522",3
2137,"0814179567",20
2139,"0814179548",8
2140,"0814179543",40
2141,"0814179563",11
2142,"0814179544",9
2143,"0814179530",20
2144,"0814179491",10
2145,"0814179565",9
2146,"0814179501",4
2147,"0814179517",19
2148,"0814179527",11
2149,"0814179477",9
2152,"0814179505",10
2153,"0814179510",19
2154,"0814179496",13
2155,"0814179518",7
2156,"0814179547",10
2157,"0814179552",19
2158,"0814179526",4
2159,"0814179481",12
2160,"0814179499",3
2161,"0814179568",3
2162,"0814179475",18
2163,"0814179538",2
2165,"0814179559",4
2166,"0814179483",10
2167,"0814179541",19
2168,"0814179478",9
2170,"0814179490",18
2174,"0814179484",19
2175,"0814179473",15
2176,"0814179507",19
2177,"0814179498",4
2178,"0814179561",18
2180,"0814179558",18
2182,"0814179508",10
2183,"0814179673",13
2184,"0814179604",11
2185,"0814179618",10
2186,"0814179679",18
2187,"0814179594",19
2188,"0814179524",20
2191,"0814179616",4
2197,"0814179678",17
2198,"0814179677",9
2199,"0814179602",18
2200,"0814179591",11
2201,"0814179584",9
2202,"0814179593",9
2203,"0814179688",19
2204,"0814179601",8
2206,"0814179620",11
2207,"0814179669",10
2209,"0814179590",4
2210,"0814179587",3
2211,"0814179583",19
2213,"0814318948",4
2215,"0814179682",18
2218,"0814179687",10
2219,"0814179689",19
2220,"0814179617",11
2222,"0814179610",19
2223,"0814179600",18
2224,"0814179578",10
2225,"0814179686",2
2226,"0814179596",18
2227,"0814179615",9
2229,"0814179612",10
2230,"0814179581",3
2231,"0814179608",3
2232,"0814179605",4
2234,"0814179670",10
2236,"0814179685",15
2237,"0814179683",3
2239,"0814179592",10
2240,"0814179577",4
2242,"0814179611",19
2245,"0814179598",15
2247,"0814179576",18
2249,"0814179693",1
2250,"0814179691",10
2251,"0814179671",11
2252,"0814179667",11
2253,"0814179597",11
2255,"0814179603",10
2256,"0814318924",16
2257,"0814179690",15
2258,"0814179675",11
2259,"0814179619",20
2262,"0814179614",7
2264,"0814179585",9
2266,"0814179586",12
2269,"0814179676",4
2271,"0814179625",10
2272,"0814179692",8
2273,"0814179599",20
2277,"0814179719",9
2278,"0814179694",4
2279,"0814179699",18
2282,"0814179707",16
2283,"0814179628",19
2284,"0814179660",8
2286,"0814179711",4
2287,"0814179643",18
2289,"0814179632",16
2290,"0814179641",11
2291,"0814179653",8
2297,"0814179658",9
2299,"0814254937",3
2300,"0814179631",2
2302,"0814179702",11
2303,"0814179704",4
2304,"0814179700",16
2305,"0814179633",10
2306,"0814179645",9
2307,"0814179706",2
2309,"0814179626",19
2310,"0814179705",4
2311,"0814179655",3
2312,"0814179640",2
2313,"0814179629",2
2316,"0814179650",4
2317,"0814179642",18
2318,"0814179708",2
2319,"0814179661",8
2320,"0814179656",10
2321,"0814179666",1
2322,"0814179663",2
2323,"0814179630",10
2325,"0814179634",4
2327,"0814179646",15
2328,"0814179710",15
2330,"0814179664",4
2331,"0814179654",3
2332,"0814179638",17
2333,"0814179647",10
2334,"0814179657",2
2335,"0814573901",4
2336,"0814179648",6
2338,"0814179624",15
2339,"0814179698",2
2340,"0814179659",3
2343,"0814179713",9
2345,"0814254938",16
2346,"0814179716",4
2347,"0814179718",20
2348,"0814179717",16
2349,"0814318928",8
2352,"0814318944",8
2354,"0814179724",10
2355,"0814179715",16
2357,"0814179726",7
2360,"0814179722",16
2363,"0814318926",8
2369,"0814318937",3
2370,"0814318943",12
2371,"0814318931",3
2372,"0814318938",15
2373,"0814318936",19
2374,"0814318925",8
2375,"0814318933",4
2376,"0814318927",3
2377,"0814318930",20
2379,"0814318939",3
2381,"0814318935",19
2382,"0814318932",8
2384,"0814318934",40
2385,"0814318947",18
2387,"0814318940",3
2389,"0814318954",16
2391,"0814318981",7
2394,"0814318976",13
2395,"0814318956",15
2396,"0814318974",2
2397,"0814318959",40
2400,"0814318958",16
2401,"0814318970",1
2402,"0814318965",18
2404,"0814318971",17
2408,"0814318961",18
2409,"0814318963",15
2410,"0814318962",17
2411,"0814318979",3
2412,"0814318973",3
2414,"0814318977",3
2415,"0814318966",17
2418,"0814318978",15
2419,"0814318964",20
2421,"0814318960",16
2423,"0814318949",1
2424,"0814318982",20
2425,"0814318952",7
2426,"0814318950",3
2427,"0814318951",15
2429,"0814318953",8
2430,"0814573900",8
2433,"0814573912",8
2434,"0814573902",1
2435,"0814574013",20
2436,"0814573962",15
2437,"0814574010",2
2438,"0814573906",16
2439,"0814574006",16
2443,"0814573724",15
2444,"0814573916",8
2445,"0814574011",16
2446,"0814573911",2
2447,"0814318957",12
2448,"0814573904",1
2449,"0814573915",1
2451,"0814573905",20
2453,"0814573775",12
2455,"0814573903",20
2457,"0814573899",16
2458,"0814574001",1
2459,"0814573917",17
2460,"0814573961",1
2461,"0814573909",17
2462,"0814573967",1
2464,"0814573999",14
2465,"0814573908",1
2466,"0814573898",15
2467,"0814574002",1
2468,"0814573897",20
2470,"0814573960",15
2471,"0814573910",40
2472,"0814574004",16
2475,"0814574015",14
2476,"0814574019",1
2477,"0814573774",15
2478,"0814573770",8
2479,"0814573718",18
2480,"0814574012",20
2483,"0814573734",1
2484,"0814573920",15
2485,"0814574020",2
2486,"0814573735",8
2487,"0814574009",16
2488,"0814573731",14
2489,"0814574000",15
2490,"0814573919",20
2491,"0814573722",16
2492,"0814573921",8
2493,"0814573927",2
2494,"0814573723",20
2495,"0814573922",14
2496,"0814573736",18
2497,"0814574007",18
2498,"0814573727",20
2499,"0814573733",8
2501,"0814573969",15
2503,"0814573721",18
2504,"0814573726",10
2507,"0814574022",20
2510,"0814574016",15
2513,"0814573968",8
2514,"0814573965",20
2516,"0814573923",15
2518,"0814573930",20
2521,"0814573924",14
2524,"0814573720",20
2525,"0814573719",40
2526,"0814573773",7
2527,"0814573716",17
2528,"0814573730",20
2529,"0814573929",18
2530,"0814573738",7
2531,"0814573932",8
2532,"0814573729",20
2533,"0814574014",20
2536,"0814573717",7
2539,"0814573766",40
2540,"0814573768",18
2542,"0814573767",7
2543,"0814573739",8
2544,"0814573761",20
2545,"0814573769",18
2546,"0814573737",7
2547,"0814573926",7
2548,"0814573725",40
2550,"0814573776",8
2551,"0814573925",20
2552,"0814573758",8
2553,"0814573963",20
2555,"0814573732",14
2556,"0814573743",40
2559,"0814573948",20
2560,"0814573928",20
2561,"0814573983",20
2562,"0814573750",20
2563,"0814573751",7
2564,"0814573950",20
2566,"0814573754",5
2567,"0814573985",40
2568,"0814573756",20
2569,"0814573937",7
2572,"0814573942",8
2573,"0814573956",7
2574,"0814573765",40
2575,"0814573957",18
2576,"0814573746",8
2579,"0814573958",7
2580,"0814573945",8
2581,"0814573749",7
2582,"0814573974",7
2583,"0814573759",7
2586,"0814573757",7
2588,"0814573747",19
2591,"0814573753",8
2592,"0814573934",6
2593,"0814573953",8
2594,"0814573982",8
2596,"0814573752",7
2598,"0814573944",8
2599,"0814573949",13
2600,"0814573981",8
2601,"0814573941",7
2602,"0814573760",6
2603,"0814573947",8
2604,"0814573955",7
2605,"0814573989",7
2606,"0814573939",6
2608,"0814573740",19
2609,"0814573977",8
2611,"0814573755",7
2616,"0814573976",7
2617,"0814573742",7
2618,"0814573987",6
2619,"0814573762",18
2620,"0814573959",6
2621,"0814573984",8
2622,"0814573946",8
2623,"0814573980",7
2624,"0814573748",8
2625,"0814573938",8
2626,"0814573943",8
2627,"0814573951",7
2628,"0814573978",8
2630,"0814573935",8
2633,"0814573975",8
2635,"0814573973",8
2636,"0814573745",8
2638,"0814573988",6
2640,"0814573763",8
2641,"0814573825",7
2642,"0814573821",8
2646,"0814573813",8
2648,"0814573814",7
2649,"0814573798",6
2650,"0814573782",7
2651,"0814573809",8
2652,"0814573995",8
2653,"0814573789",7
2655,"0814573803",6
2657,"0814573998",8
2658,"0814573823",7
2659,"0814573997",8
2660,"0814573787",40
2662,"0814573780",7
2663,"0814573991",6
2664,"0814573828",6
2666,"0814573990",6
2668,"0814573793",6
2669,"0814573783",8
2670,"0814573805",8
2671,"0814573794",7
2672,"0814573996",7
2673,"0814573781",7
2674,"0814573817",7
2676,"0814573796",8
2677,"0814573994",7
2678,"0814573806",7
2679,"0814573778",7
2680,"0814573992",7
2682,"0814573993",7
2683,"0814573784",18
2685,"0814573811",7
2686,"0814573797",8
2687,"0814573827",7
2688,"815443810",6
2689,"815443811",7
2690,"815443796",8
2692,"815443827",7
2694,"815443870",6
2697,"815443799",7
2698,"815443800",7
2699,"0815443997",6
2702,"0815443973",7
2704,"0815443999",8
2706,"815443798",8
2707,"0815443985",8
2708,"815443867",13
2709,"0815444006",17
2710,"0815443981",7
2712,"815443813",6
2713,"815443797",8
