1,"05119",59
2,"",21
3,"",9
4,"",17
5,"03031",60
6,"",15
7,"02796",60
8,"06942",1
9,"",21
10,"00073",41
11,"",55
12,"06107",60
13,"",9
15,"00042",9
17,"",20
18,"02839",20
19,"01420",9
20,"05443",60
21,"06403",60
22,"04133",60
23,"05027",1
24,"",9
25,"?????",41
29,"",21
32,"",2
33,"",3
34,"02830",60
35,"",56
36,"?????",14
37,"01377",41
38,"02460",9
39,"",4
40,"08786",9
41,"",16
42,"",1
43,"03511",16
44,"06228",16
45,"?????",7
46,"",11
47,"",16
48,"04025",9
49,"",17
50,"?????",14
52,"",57
54,"",21
55,"03017",14
56,"",41
57,"00784",9
58,"",7
59,"03090",60
60,"06214",60
61,"",9
62,"07010",60
63,"",4
64,"07646",60
66,"",20
67,"",1
68,"02178",14
69,"",15
70,"",9
71,"?????",14
73,"05627",16
74,"09037",16
76,"?????",14
77,"09241",41
78,"?????",14
79,"",7
80,"00064",60
81,"",57
82,"?????",1
83,"00075",16
84,"00848",42
85,"",56
86,"?????",14
87,"",41
90,"",55
91,"",55
92,"03172",16
94,"09179",41
95,"05464",16
96,"",1
97,"",56
98,"03543",1
99,"",15
100,"",17
101,"",16
102,"?????",18
103,"09785",16
104,"02433",16
105,"00936",16
106,"03365",60
107,"",2
108,"07202",16
109,"07975",16
111,"06173",60
112,"",9
113,"",15
114,"?????",14
115,"08837",14
116,"02231",20
117,"03772",9
118,"05895",7
119,"?????",9
120,"",15
121,"",9
122,"00030",17
123,"01849",9
125,"?????",18
127,"",19
128,"03562",17
129,"",14
130,"05461",60
131,"09140",20
132,"",19
133,"02946",60
134,"",0
140,"06173",4
141,"",2
142,"01431",16
143,"07971",16
144,"06927",4
146,"09188",17
149,"03390",60
150,"01674",4
151,"",9
153,"",20
154,"?????",7
155,"",11
156,"06524",16
157,"08080",17
158,"04099",16
159,"06879",60
160,"",11
161,"",1
162,"",20
163,"01308",16
164,"00612",41
165,"",7
166,"04766",16
167,"03648",9
168,"07038",16
169,"08190",16
170,"",17
171,"01154",1
173,"",7
174,"09247",20
175,"04964",60
176,"00026",17
177,"",2
178,"",21
180,"",41
181,"",15
182,"07834",16
183,"02510",60
186,"08399",16
188,"",16
189,"07865",41
191,"00063",60
193,"",2
194,"07942",9
195,"05611",16
196,"01698",41
197,"",16
198,"01221",60
199,"01231",4
200,"07261",9
201,"03361",41
202,"?????",14
203,"01158",60
204,"04185",20
205,"",5
207,"",18
208,"02301",1
210,"02327",4
213,"08862",16
214,"06968",7
215,"05233",1
216,"",13
217,"02000",41
219,"",41
220,"07082",9
221,"",7
222,"?????",41
224,"08163",16
225,"00438",16
226,"12347",20
227,"12835",20
228,"09000",60
229,"04386",16
230,"",7
231,"08348",7
232,"03768",16
233,"03063",16
234,"13659",7
235,"",7
236,"",11
237,"35166",56
238,"?????",41
239,"01010",16
240,"01433",1
241,"03926",16
242,"36796",17
244,"01028",16
246,"09265",13
247,"05203",1
248,"06635",60
249,"02953",17
251,"03421",60
253,"37518",8
254,"03614",4
255,"37598",21
256,"37620",55
257,"37636",7
258,"37720",7
259,"06800",41
260,"07363",16
261,"07516",16
263,"",56
265,"09944",60
266,"03389",41
267,"00032",1
270,"02318",60
271,"01930",4
272,"13757",7
274,"",15
275,"08522",16
276,"",15
278,"00996",41
281,"?????",8
