34,"02830",0.00,0.00,0.00,0
38,"02460",0.00,0.00,0.00,0
43,"03511",0.00,0.00,0.00,0
44,"06228",0.00,0.00,0.00,0
48,"04025",0.00,0.00,0.00,0
57,"00784",0.00,0.00,0.00,0
59,"03090",0.00,0.00,0.00,0
60,"06214",0.00,0.00,0.00,0
62,"07010",0.00,0.00,0.00,0
64,"07646",0.00,0.00,0.00,0
73,"05627",0.00,0.00,0.00,0
74,"09037",0.00,0.00,0.00,0
80,"00064",0.00,0.00,0.00,0
92,"03172",0.00,0.00,0.00,0
95,"05464",0.00,0.00,0.00,0
98,"03543",0.00,0.00,0.00,0
103,"09785",0.00,0.00,0.00,0
104,"02433",0.00,0.00,0.00,0
105,"00936",0.00,0.00,0.00,0
106,"03365",0.00,0.00,0.00,0
109,"07975",0.00,0.00,0.00,0
111,"06173",0.00,0.00,0.00,0
117,"03772",0.00,0.00,0.00,0
118,"05895",0.00,0.00,0.00,0
122,"00030",0.00,0.00,0.00,0
123,"01849",0.00,0.00,0.00,0
128,"03562",0.00,0.00,0.00,0
130,"05461",0.00,0.00,0.00,0
133,"02946",0.00,0.00,0.00,0
142,"01431",0.00,0.00,0.00,0
143,"07971",0.00,0.00,0.00,0
144,"06927",0.00,0.00,0.00,0
149,"03390",0.00,0.00,0.00,0
156,"06524",0.00,0.00,0.00,0
157,"08080",0.00,0.00,0.00,0
158,"04099",0.00,0.00,0.00,0
159,"06879",0.00,0.00,0.00,0
163,"01308",0.00,0.00,0.00,0
166,"04766",0.00,0.00,0.00,0
168,"07038",0.00,0.00,0.00,0
169,"08190",0.00,0.00,0.00,0
171,"01154",0.00,0.00,0.00,0
175,"04964",0.00,0.00,0.00,0
182,"07834",0.00,0.00,0.00,0
183,"02510",0.00,0.00,0.00,0
186,"08399",0.00,0.00,0.00,0
191,"00063",0.00,0.00,0.00,0
194,"07942",0.00,0.00,0.00,0
195,"05611",0.00,0.00,0.00,0
198,"01221",0.00,0.00,0.00,0
199,"01231",0.00,0.00,0.00,0
200,"07261",0.00,0.00,0.00,0
203,"01158",0.00,0.00,0.00,0
208,"02301",0.00,0.00,0.00,0
213,"08862",0.00,0.00,0.00,0
214,"06968",0.00,0.00,0.00,0
215,"05233",0.00,0.00,0.00,0
220,"07082",0.00,0.00,0.00,0
224,"08163",0.00,0.00,0.00,0
225,"00438",0.00,0.00,0.00,0
229,"04386",0.00,0.00,0.00,0
231,"08348",0.00,0.00,0.00,0
233,"03063",0.00,0.00,0.00,0
239,"01010",0.00,0.00,0.00,0
241,"03926",0.00,0.00,0.00,0
244,"01028",0.00,0.00,0.00,0
248,"06635",0.00,0.00,0.00,0
251,"03421",0.00,0.00,0.00,0
254,"03614",0.00,0.00,0.00,0
260,"07363",0.00,0.00,0.00,0
261,"07516",0.00,0.00,0.00,0
265,"09944",0.00,0.00,0.00,0
270,"02318",0.00,0.00,0.00,0
275,"08522",0.00,0.00,0.00,0
283,"04122",0.00,0.00,0.00,0
285,"08305",0.00,0.00,0.00,0
286,"05493",0.00,0.00,0.00,0
290,"09017",0.00,0.00,0.00,0
291,"07455",0.00,0.00,0.00,0
294,"02533",0.00,0.00,0.00,0
296,"00275",0.00,0.00,0.00,0
297,"07953",0.00,0.00,0.00,0
301,"08145",0.00,0.00,0.00,0
302,"07057",0.00,0.00,0.00,0
303,"?????",0.00,0.00,0.00,0
306,"09823",0.00,0.00,0.00,0
308,"07735",0.00,0.00,0.00,0
309,"02139",0.00,0.00,0.00,0
310,"06315",0.00,0.00,0.00,0
315,"05325",0.00,0.00,0.00,0
319,"06888",0.00,0.00,0.00,0
321,"01240",0.00,0.00,0.00,0
322,"05204",0.00,0.00,0.00,0
329,"05226",0.00,0.00,0.00,0
